Symbol,Security Name,Exchange,Yahoo Symbol
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N,ACHR-W
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,ACHV
ACI,"Albertsons Companies, Inc. Class A Common Stock",N,ACI
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,ACIC
ACIU,AC Immune SA - Common Stock,NASDAQ,ACIU
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,ACIW
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,ACLS
ACM,AECOM Common Stock,N,ACM
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,ACMR
ACN,Accenture plc Class A Ordinary Shares (Ireland),N,ACN
ACNB,ACNB Corporation - Common Stock,NASDAQ,ACNB
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,ACNT
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,ACOG
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,ACON
ACONW,"Aclarion, Inc. - Warrant",NASDAQ,ACONW
ACP,abrdn Income Credit Strategies Fund Common Shares,N,ACP
ACR,ACRES Commercial Realty Corp. Common Stock,N,ACR
ACRE,Ares Commercial Real Estate Corporation Common Stock,N,ACRE
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,ACRS
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,ACRV
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,ACT
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,ACTG
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,ACTU
ACU,Acme United Corporation. Common Stock,A,ACU
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,ACV
ACVA,ACV Auctions Inc. Class A Common Stock,N,ACVA
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,ACXP
AD,"Array Digital Infrastructure, Inc. Common Shares",N,AD
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,ADAC
ADACU,American Drive Acquisition Company - Units,NASDAQ,ADACU
ADACW,American Drive Acquisition Company - Warrant,NASDAQ,ADACW
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,ADAG
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,ADAM
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,ADAMG
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,ADAMH
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,ADAMI
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,ADAML
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,ADAMM
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,ADAMN
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ,ADAMO
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,ADAMZ
ADBE,Adobe Inc. - Common Stock,NASDAQ,ADBE
ADC,Agree Realty Corporation Common Stock,N,ADC
ADCT,ADC Therapeutics SA Common Shares,N,ADCT
ADEA,Adeia Inc.  - Common Stock,NASDAQ,ADEA
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,ADGM
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,ADI
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,ADIL
ADM,Archer-Daniels-Midland Company Common Stock,N,ADM
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,ADMA
ADNT,Adient plc Ordinary Shares ,N,ADNT
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,ADP
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,ADPT
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,ADSE
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ,ADSEW
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,ADSK
ADT,ADT Inc. Common Stock,N,ADT
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,ADTN
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,ADTX
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,ADUR
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,ADUS
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,ADV
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,ADVB
ADX,Adams Diversified Equity Fund Inc.,N,ADX
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,ADXN
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,AEAQ
AEAQU,Activate Energy Acquisition Corp. - Unit,NASDAQ,AEAQU
AEAQW,Activate Energy Acquisition Corp. - Warrant,NASDAQ,AEAQW
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,AEBI
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,AEC
AEE,Ameren Corporation Common Stock,N,AEE
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",A,AEF
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N,AEFC
AEG,Aegon Ltd. New York Registry Shares,N,AEG
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,AEHL
AEHR,Aehr Test Systems - Common Stock,NASDAQ,AEHR
AEI,Alset Inc. - Common Stock,NASDAQ,AEI
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,AEIS
AEM,Agnico Eagle Mines Limited Common Stock,N,AEM
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,AEMD
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,AENT
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ,AENTW
AEO,"American Eagle Outfitters, Inc. Common Stock",N,AEO
AEON,"AEON Biopharma, Inc. Class A Common Stock",A,AEON
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,AEP
AER,AerCap Holdings N.V. Ordinary Shares,N,AER
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",N,AERO
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,AERT
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ,AERTW
AES,The AES Corporation Common Stock,N,AES
AESI,Atlas Energy Solutions Inc. Common Stock,N,AESI
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,AEVA
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,N,AEXA
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,AEYE
AFB,AllianceBernstein National Municipal Income Fund Inc,N,AFB
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,AFBI
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,AFCG
AFG,"American Financial Group, Inc. Common Stock",N,AFG
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N,AFGB
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N,AFGC
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N,AFGD
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N,AFGE
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,AFJK
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ,AFJKR
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ,AFJKU
AFL,AFLAC Incorporated Common Stock,N,AFL
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,AFRI
AFRIW,Forafric Global PLC - Warrants,NASDAQ,AFRIW
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,AFRM
AFYA,Afya Limited - Class A Common Shares,NASDAQ,AFYA
AG,First Majestic Silver Corp. Ordinary Shares (Canada),N,AG
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,NASDAQ,AGAE
AGBK,AGI Inc Class A Common Shares,N,AGBK
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,AGCC
AGCO,AGCO Corporation Common Stock,N,AGCO
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N,AGD
AGEN,Agenus Inc. - Common Stock,NASDAQ,AGEN
AGH,Aureus Greenway Holdings Inc. - Common Stock,NASDAQ,AGH
AGI,Alamos Gold Inc. Class A Common Shares,N,AGI
AGIG,Abundia Global Impact Group Inc. Common stock,A,AGIG
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,AGIO
AGL,"agilon health, inc. Common Stock",N,AGL
AGM,Federal Agricultural Mortgage Corporation Common Stock,N,AGM
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,N,AGM-A
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,AGMB
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,AGMH
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,AGNC
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ,AGNCL
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,AGNCM
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,AGNCN
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ,AGNCO
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,AGNCP
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ,AGNCZ
AGO,Assured Guaranty Ltd. Common Stock,N,AGO
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,AGPU
AGRO,Adecoagro S.A. Common Shares,N,AGRO
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ,AGRZ
AGX,"Argan, Inc. Common Stock",N,AGX
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,AGYS
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,AHCO
AHG,Akso Health Group - American Depositary Shares,NASDAQ,AHG
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,AHMA
AHR,"American Healthcare REIT, Inc. Common Stock",N,AHR
AHRT,"AH Realty Trust, Inc. Common Stock",N,AHRT
AHT,Ashford Hospitality Trust Inc Common Stock,N,AHT
AI,"C3.ai, Inc. Class A Common Stock",N,AI
AIB,"BlockchAIn Digital Infrastructure, Inc Common Shares",A,AIB
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,AIDX
AIFC,AI Financial Corporation - Common Stock,NASDAQ,AIFC
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,AIFF
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,AIFU
AIG,"American International Group, Inc. New Common Stock",N,AIG
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,AIHS
AII,"American Integrity Insurance Group, Inc. Common Stock",N,AII
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,N,AIIA
AIIA.R,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share",N,AIIA-R
AIIA.U,"AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right",N,AIIA-U
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,AIIO
AIIOW,Robo.ai Inc. - Warrant,NASDAQ,AIIOW
AIM,AIM ImmunoTech Inc. Common Stock,A,AIM
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,AIMD
AIMDW,"Ainos, Inc. - warrants",NASDAQ,AIMDW
AIN,Albany International Corporation Common Stock,N,AIN
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,N,AIO
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,AIOS
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,AIOT
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,AIP
AIR,AAR Corp. Common Stock,N,AIR
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,AIRE
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,AIRG
AIRI,Air Industries Group Common Stock,A,AIRI
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,AIRJ
AIRJW,AirJoule Technologies Corporation - Warrant,NASDAQ,AIRJW
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,AIRO
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,AIRS
AIRT,"Air T, Inc. - Common Stock",NASDAQ,AIRT
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAQ,AIRTP
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,AISP
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAQ,AISPW
AIT,"Applied Industrial Technologies, Inc. Common Stock",N,AIT
AIV,Apartment Investment and Management Company Common Stock,N,AIV
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,AIXC
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ,AIXI
AIZ,"Assurant, Inc. Common Stock",N,AIZ
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",N,AIZN
AJG,Arthur J. Gallagher & Co. Common Stock,N,AJG
AKA,a.k.a. Brands Holding Corp. Common Stock,N,AKA
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,AKAM
AKAN,Akanda Corp. - Common Shares,NASDAQ,AKAN
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,AKBA
AKO.A,Embotelladora Andina S.A. Common Stock,N,AKO-A
AKO.B,Embotelladora Andina S.A. Common Stock,N,AKO-B
AKR,Acadia Realty Trust Common Stock,N,AKR
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,AKTS
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ,AKTX
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,ALAB
ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,ALAR
ALB,Albemarle Corporation Common Stock,N,ALB
ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ,ALBT
ALC,Alcon Inc. Ordinary Shares,N,ALC
ALCO,"Alico, Inc. - Common Stock",NASDAQ,ALCO
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,NASDAQ,ALCY
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,NASDAQ,ALCYU
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,NASDAQ,ALCYW
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ,ALDF
ALDFU,Aldel Financial II Inc. - Units,NASDAQ,ALDFU
ALDFW,Aldel Financial II Inc. - Warrants,NASDAQ,ALDFW
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,ALDX
ALEC,"Alector, Inc. - Common Stock",NASDAQ,ALEC
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAQ,ALF
ALFUU,Centurion Acquisition Corp. - Unit,NASDAQ,ALFUU
ALFUW,Centurion Acquisition Corp. - Warrant,NASDAQ,ALFUW
ALG,"Alamo Group, Inc. Common Stock",N,ALG
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,ALGM
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ,ALGN
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,ALGS
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,ALGT
ALH,Alliance Laundry Holdings Inc. Common Stock,N,ALH
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,ALHC
ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAQ,ALIS
ALISR,Calisa Acquisition Corp - Right,NASDAQ,ALISR
ALISU,Calisa Acquisition Corp - Units,NASDAQ,ALISU
ALIT,"Alight, Inc. Class A Common Stock",N,ALIT
ALK,"Alaska Air Group, Inc. Common Stock",N,ALK
ALKS,Alkermes plc - Ordinary Shares,NASDAQ,ALKS
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,ALKT
ALL,Allstate Corporation (The) Common Stock,N,ALL
ALLE,Allegion plc Ordinary Shares,N,ALLE
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,ALLO
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,ALLR
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,ALLT
ALLY,Ally Financial Inc. Common Stock,N,ALLY
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,ALM
ALMR,"Alamar Biosciences, Inc. - Class A common stock",NASDAQ,ALMR
ALMS,Alumis Inc. - Common Stock,NASDAQ,ALMS
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ,ALMU
ALNT,Allient Inc. - Common Stock,NASDAQ,ALNT
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,ALNY
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ,ALOT
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",NASDAQ,ALOV
ALOVU,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Units",NASDAQ,ALOVU
ALOVW,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Warrants",NASDAQ,ALOVW
ALOY,REalloys Inc. - Common Stock,NASDAQ,ALOY
ALP,Alpha Compute Corp  - Common Stock,NASDAQ,ALP
ALPS,ALPS Group Inc - Ordinary Share,NASDAQ,ALPS
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ,ALRM
ALRS,Alerus Financial Corporation - Common Stock,NASDAQ,ALRS
ALSN,"Allison Transmission Holdings, Inc. Common Stock",N,ALSN
ALT,"Altimmune, Inc. - Common Stock",NASDAQ,ALT
ALTG,Alta Equipment Group Inc. Class A Common Stock,N,ALTG
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAQ,ALTI
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ,ALTO
ALUB,Alussa Energy Acquisition Corp. II Class A Ordinary Shares,N,ALUB
ALUB.U,"Alussa Energy Acquisition Corp. II Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant",N,ALUB-U
ALUB.W,"Alussa Energy Acquisition Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",N,ALUB-W
ALV,"Autoliv, Inc. Common Stock",N,ALV
ALVO,Alvotech - Ordinary Shares,NASDAQ,ALVO
ALVOW,Alvotech - Warrant,NASDAQ,ALVOW
ALX,"Alexander's, Inc. Common Stock",N,ALX
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAQ,ALXO
ALZN,"Alzamend Neuro, Inc. - Common Stock",NASDAQ,ALZN
AM,Antero Midstream Corporation Common Stock,N,AM
AMAL,Amalgamated Financial Corp. - Common Stock,NASDAQ,AMAL
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,AMAT
AMBA,"Ambarella, Inc. - Ordinary Shares",NASDAQ,AMBA
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),A,AMBO
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,N,AMBP
AMBQ,"Ambiq Micro, Inc. Common Stock",N,AMBQ
AMBR,Amber International Holding Limited - American Depositary Shares,NASDAQ,AMBR
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",N,AMC
AMCI,AMC Robotics Corporation - Common Stock,NASDAQ,AMCI
AMCR,Amcor plc Ordinary Shares,N,AMCR
AMCX,AMC Global Media Inc. - Class A Common Stock,NASDAQ,AMCX
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,AMD
AME,"AMETEK, Inc.",N,AME
AMG,"Affiliated Managers Group, Inc. Common Stock",N,AMG
AMGN,Amgen Inc. - Common Stock,NASDAQ,AMGN
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,N,AMH
AMIX,"Autonomix Medical, Inc. - Common Stock",NASDAQ,AMIX
AMKR,"Amkor Technology, Inc. - Common Stock",NASDAQ,AMKR
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAQ,AMLX
AMN,AMN Healthcare Services Inc,N,AMN
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",NASDAQ,AMOD
AMODW,"Alpha Modus Holdings, Inc. - Warrant",NASDAQ,AMODW
AMP,"Ameriprise Financial, Inc. Common Stock",N,AMP
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAQ,AMPG
AMPGR,"Amplitech Group, Inc. - Series A Right",NASDAQ,AMPGR
AMPGZ,"Amplitech Group, Inc. - Series B Right",NASDAQ,AMPGZ
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAQ,AMPH
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ,AMPL
AMPX,"Amprius Technologies, Inc. Common Stock",N,AMPX
AMPX.W,"Amprius Technologies, Inc. Warrants to purchase one share of Common Stock at an exercise price of $11.50 per share",N,AMPX-W
AMPY,Amplify Energy Corp. Common Stock,N,AMPY
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",N,AMR
AMRC,"Ameresco, Inc. Class A Common Stock",N,AMRC
AMRN,Amarin Corporation plc - American Depositary Shares,NASDAQ,AMRN
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ,AMRX
AMRZ,Amrize Ltd Ordinary Shares,N,AMRZ
AMS,American Shared Hospital Services Common Stock,A,AMS
AMSC,American Superconductor Corporation - Common Stock,NASDAQ,AMSC
